symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
GOOGL,2024-12-11,2025-01-13,184.35,190.02,316,1791.84,0.67,time_exit
MMM,2025-01-10,2025-01-13,130.09,126.16,680,-2671.2,-1.0,stop
ISRG,2025-01-13,2025-01-17,543.4,594.88,136,7001.71,2.62,target
MMM,2025-01-14,2025-01-21,130.86,141.23,515,5343.34,1.99,target
JPM,2025-01-15,2025-01-23,243.02,257.63,232,3388.39,1.26,target
CAT,2025-01-22,2025-01-30,391.79,374.67,171,-2927.79,-1.0,stop
BRK-B,2025-01-21,2025-02-03,471.0,454.99,176,-2817.09,-1.0,stop
BMY,2025-01-24,2025-02-07,55.07,52.81,1326,-3003.5,-1.0,stop
BAC,2025-01-10,2025-02-10,44.47,45.12,1815,1175.73,0.44,time_exit
GILD,2025-02-03,2025-02-12,93.25,100.52,868,6316.57,2.14,target
BNY,2025-01-16,2025-02-14,78.97,85.35,893,5698.65,2.12,time_exit
DUK,2025-02-04,2025-03-04,106.87,114.18,1010,7386.13,2.56,target
BNY,2025-03-03,2025-03-04,87.05,83.18,799,-3094.15,-1.0,stop
MMM,2025-03-03,2025-03-04,151.9,145.07,452,-3089.71,-1.0,stop
SPG,2025-02-12,2025-03-06,168.41,165.3,918,-2852.76,-1.0,stop
RTX,2025-03-03,2025-03-06,131.56,125.11,479,-3090.25,-1.0,stop
SO,2025-03-10,2025-03-25,87.82,84.22,834,-2999.37,-1.0,stop
DUK,2025-03-17,2025-03-25,114.58,110.83,800,-2997.05,-1.0,stop
BMY,2025-03-10,2025-04-03,56.79,54.08,1108,-2998.45,-1.0,stop
CVS,2025-03-19,2025-04-04,64.39,60.41,754,-2998.43,-1.0,stop
MO,2025-03-10,2025-04-07,52.44,50.06,1259,-2999.28,-1.0,stop
DUK,2025-04-01,2025-04-07,116.86,112.71,693,-2876.04,-1.0,stop
MCD,2025-05-01,2025-05-12,304.01,296.37,346,-2642.18,-1.0,stop
SO,2025-05-08,2025-05-12,88.01,85.13,918,-2640.25,-1.0,stop
COST,2025-06-02,2025-06-09,1026.85,990.32,69,-2520.43,-0.99,stop
DE,2025-05-13,2025-06-11,488.34,512.77,89,2174.77,0.86,time_exit
BNY,2025-06-20,2025-06-23,90.06,86.61,732,-2526.55,-1.0,stop
IBM,2025-06-10,2025-06-24,264.48,283.09,227,4224.36,1.7,target
C,2025-06-06,2025-06-26,75.6,81.16,590,3279.19,1.29,target
ABT,2025-06-25,2025-06-26,134.15,129.45,545,-2560.69,-1.0,stop
T,2025-06-11,2025-07-11,26.93,25.87,2347,-2485.3,-1.0,stop
META,2025-06-17,2025-07-17,699.71,699.12,74,-43.52,-0.02,time_exit
MMM,2025-07-18,2025-07-21,159.56,150.13,268,-2526.77,-1.0,stop
CSCO,2025-06-24,2025-07-23,66.01,67.23,949,1157.68,0.47,time_exit
AMT,2025-07-23,2025-07-28,222.35,215.91,384,-2471.85,-1.0,stop
BKNG,2025-06-30,2025-07-29,226.25,221.76,279,-1254.16,-0.49,time_exit
HON,2025-06-30,2025-07-29,221.38,214.87,395,-2571.5,-1.0,stop
SCHW,2025-07-18,2025-07-29,94.5,97.96,453,1564.8,0.62,target
DE,2025-08-01,2025-08-04,512.58,496.41,148,-2393.4,-1.0,stop
GILD,2025-07-28,2025-08-06,110.51,107.93,968,-2497.8,-1.0,stop
PLTR,2025-08-05,2025-08-07,171.81,182.78,106,1162.75,0.49,target
MO,2025-07-31,2025-08-12,57.32,61.82,1307,5875.09,2.44,target
CSCO,2025-08-08,2025-08-14,68.82,66.33,939,-2329.63,-1.0,stop
MS,2025-08-13,2025-08-20,144.87,138.91,410,-2442.89,-1.0,stop
GILD,2025-08-11,2025-08-28,116.2,110.24,390,-2325.26,-1.0,stop
DUK,2025-08-01,2025-08-29,118.11,119.38,589,744.9,0.31,time_exit
ABBV,2025-08-04,2025-09-02,188.95,205.54,266,4414.33,1.84,time_exit
INTC,2025-08-18,2025-09-16,24.0,25.27,1617,2053.59,0.86,time_exit
MDT,2025-08-21,2025-09-19,90.38,92.09,634,1080.7,0.46,time_exit
AMZN,2025-09-05,2025-09-23,235.19,225.69,253,-2403.28,-1.0,stop
MS,2025-09-10,2025-09-23,149.51,160.04,384,4042.16,1.68,target
USB,2025-09-02,2025-09-30,46.49,46.98,2201,1076.3,0.46,time_exit
JPM,2025-09-17,2025-10-14,304.56,293.45,220,-2444.62,-1.0,stop
AAPL,2025-09-22,2025-10-20,247.39,261.27,199,2763.85,1.12,time_exit
DUK,2025-10-01,2025-10-22,120.42,126.62,895,5548.1,2.2,target
NFLX,2025-10-21,2025-10-22,124.28,118.14,412,-2532.8,-1.0,stop
BLK,2025-09-26,2025-10-24,1133.68,1118.56,59,-892.42,-0.36,time_exit
NVDA,2025-10-01,2025-10-29,185.0,208.02,265,6099.62,2.41,target
CVX,2025-11-03,2025-11-04,152.76,147.8,543,-2694.47,-1.0,stop
EMR,2025-10-30,2025-11-05,133.47,128.7,565,-2693.93,-1.0,stop
PLTR,2025-10-30,2025-11-05,198.43,183.56,181,-2691.02,-1.0,stop
WFC,2025-10-16,2025-11-13,85.13,83.33,521,-940.57,-0.38,time_exit
AMZN,2025-11-03,2025-11-17,255.36,230.51,108,-2683.43,-0.99,stop
C,2025-11-13,2025-11-17,100.93,96.04,518,-2531.82,-1.0,stop
MDT,2025-11-18,2025-11-24,97.56,100.4,353,1004.73,0.42,target
SPG,2025-11-05,2025-12-04,176.64,177.08,390,173.3,0.07,time_exit
WMT,2025-11-21,2025-12-05,107.33,115.25,459,3630.8,1.5,target
XOM,2025-11-10,2025-12-09,114.87,116.68,641,1156.32,0.46,time_exit
USB,2025-12-03,2025-12-10,48.56,52.07,1124,3947.53,1.62,target
GILD,2025-11-14,2025-12-15,122.49,118.33,392,-1630.7,-0.65,time_exit
DHR,2025-12-12,2025-12-16,231.18,221.58,272,-2610.04,-1.0,stop
PEP,2025-12-11,2025-12-23,147.27,141.82,479,-2610.46,-1.0,stop
TSLA,2025-12-16,2026-01-02,472.21,440.48,81,-2570.06,-1.0,stop
BAC,2025-12-11,2026-01-12,53.37,54.6,1422,1744.3,0.67,time_exit
CVS,2025-12-12,2026-01-13,79.15,78.84,610,-190.75,-0.07,time_exit
MMM,2026-01-15,2026-01-20,168.87,162.0,357,-2450.21,-1.0,stop
TMO,2026-01-05,2026-01-21,592.59,631.98,112,4411.99,1.82,target
GE,2025-12-22,2026-01-22,308.46,294.2,138,-1967.56,-0.78,time_exit
CVS,2026-01-22,2026-01-27,79.79,75.84,630,-2491.65,-1.0,stop
KO,2026-01-21,2026-02-03,71.03,74.75,1092,4062.94,1.69,target
AMZN,2026-01-06,2026-02-04,232.1,232.99,279,248.31,0.1,time_exit
EMR,2026-01-14,2026-02-04,144.79,157.41,431,5442.34,2.22,target
GEV,2026-01-28,2026-02-09,690.63,807.16,42,4894.45,2.04,target
UNP,2026-02-04,2026-02-11,240.03,259.18,223,4270.95,1.72,target
MDT,2026-01-23,2026-02-17,99.3,95.88,717,-2450.71,-1.0,stop
BMY,2026-02-05,2026-02-27,57.66,61.04,724,2452.14,0.94,target
NVDA,2026-02-26,2026-02-27,194.03,183.58,261,-2728.96,-1.0,stop
SBUX,2026-03-09,2026-03-18,97.68,93.11,597,-2724.73,-1.0,stop
COST,2026-04-09,2026-04-13,1026.37,990.41,74,-2661.12,-1.0,stop
TXN,2026-04-09,2026-04-20,210.42,230.59,172,3469.68,1.3,target
NEE,2026-04-01,2026-04-30,92.06,97.17,692,3537.88,1.32,time_exit
CAT,2026-04-09,2026-04-30,770.1,877.13,48,5137.28,1.92,target
MO,2026-04-29,2026-04-30,66.5,72.37,1085,6370.89,2.37,target
CVS,2026-04-24,2026-05-06,78.39,86.52,657,5336.99,1.98,target
AAPL,2026-05-04,2026-05-22,279.16,306.0,235,6306.4,2.11,target
XOM,2026-05-18,2026-05-26,157.32,149.63,402,-3093.24,-1.0,stop
LRCX,2026-05-06,2026-05-27,286.8,324.99,83,3169.7,1.06,target
COST,2026-05-13,2026-05-29,1016.32,981.74,89,-3077.99,-0.99,stop
GS,2026-05-12,2026-06-01,938.03,1033.28,71,6762.9,2.18,target
MRK,2026-05-26,2026-06-01,122.02,115.61,502,-3219.58,-1.0,stop
C,2026-06-03,2026-06-17,130.27,143.66,521,6979.81,2.16,target
MDLZ,2026-05-28,2026-06-18,61.7,59.31,1347,-3223.97,-1.0,stop
GM,2026-05-28,2026-06-23,83.42,78.84,703,-3222.59,-1.0,stop
EMR,2026-06-22,2026-06-24,150.72,141.9,374,-3300.27,-1.0,stop
JPM,2026-06-10,2026-06-25,311.16,336.63,258,6570.84,2.03,target
LLY,2026-06-08,2026-07-08,1159.0,1215.83,32,1818.56,0.56,time_exit
DUK,2026-07-06,2026-07-09,129.17,125.3,855,-3307.77,-1.0,stop
CL,2026-06-29,2026-07-28,91.43,92.73,806,1051.13,0.32,time_exit
SBUX,2026-06-29,2026-07-28,104.81,103.1,634,-1084.14,-0.33,time_exit
UPS,2026-07-20,2026-07-28,117.9,112.1,565,-3278.77,-1.0,stop
DE,2026-07-29,2026-07-30,631.43,604.91,121,-3209.39,-1.0,stop
CVX,2026-08-03,2026-08-04,195.38,188.32,446,-3148.2,-1.0,stop
