symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
GOOGL,2023-08-24,2023-09-21,132.77,130.25,200,-504.26,-0.19,trailing_stop
BRK-B,2023-09-14,2023-09-22,370.1,361.31,71,-623.91,-0.24,trailing_stop
IBM,2023-09-20,2023-09-25,135.26,133.48,193,-342.18,-0.13,trailing_stop
COP,2023-09-28,2023-10-02,113.21,108.53,227,-1061.08,-0.41,trailing_stop
AMGN,2023-09-22,2023-10-03,246.09,238.95,105,-749.99,-0.29,trailing_stop
COST,2023-09-22,2023-10-06,533.52,527.95,48,-267.5,-0.1,trailing_stop
GD,2023-10-03,2023-10-06,209.52,204.52,122,-609.67,-0.24,trailing_stop
FDX,2023-09-22,2023-10-09,199.6,194.15,130,-708.11,-0.27,trailing_stop
UNH,2023-09-25,2023-10-23,480.24,492.92,53,671.86,0.26,trailing_stop
AMD,2023-10-09,2023-10-23,106.01,100.28,238,-1363.19,-0.54,trailing_stop
AMGN,2023-10-09,2023-10-24,249.19,250.46,101,128.5,0.05,trailing_stop
GOOG,2023-10-05,2023-10-25,134.94,132.58,188,-443.2,-0.17,trailing_stop
COP,2023-10-10,2023-10-25,111.72,109.77,224,-437.4,-0.17,trailing_stop
GE,2023-10-25,2023-10-26,89.83,84.85,278,-1385.37,-0.55,trailing_stop
WMT,2023-10-26,2023-11-16,52.68,52.98,471,142.19,0.06,trailing_stop
MSFT,2023-10-24,2023-11-21,324.33,365.96,77,3205.68,1.28,time_exit
NFLX,2023-10-24,2023-11-21,40.97,47.49,609,3974.94,1.59,time_exit
GD,2023-10-26,2023-11-24,230.35,234.93,107,489.91,0.2,time_exit
IBM,2023-10-27,2023-11-27,130.94,143.44,187,2338.09,0.95,time_exit
AVGO,2023-11-22,2023-11-30,95.4,90.4,272,-1360.36,-0.52,trailing_stop
ADBE,2023-12-01,2023-12-14,609.24,593.44,43,-679.54,-0.26,trailing_stop
ACN,2023-11-17,2023-12-18,311.52,325.01,78,1052.29,0.43,time_exit
FDX,2023-11-28,2023-12-20,193.53,206.1,137,1721.71,0.65,trailing_stop
AMZN,2023-11-22,2023-12-21,144.57,153.84,179,1659.33,0.64,time_exit
CRM,2023-11-28,2023-12-27,219.81,262.18,120,5085.22,1.91,time_exit
AAPL,2023-12-15,2023-12-27,195.15,189.85,134,-710.6,-0.27,trailing_stop
ACN,2023-12-19,2024-01-03,316.34,322.82,83,538.4,0.2,trailing_stop
