date,equity
2023-04-10,123049.59161482721
2023-04-11,124016.57083651543
2023-04-12,122314.6392044735
2023-04-13,124496.206839056
2023-04-14,123066.63163039384
2023-04-17,122436.63612029252
2023-04-18,122065.42553955807
2023-04-19,122604.80598890471
2023-04-20,121762.20840513398
2023-04-21,122284.9699483632
2023-04-24,122279.01328332415
2023-04-25,120669.47845539733
2023-04-26,119901.21261803442
2023-04-27,121864.39090172584
2023-04-28,123867.04268567564
2023-05-01,125136.46066968443
2023-05-02,124223.13378827572
2023-05-03,126525.37264554501
2023-05-04,125504.45253495048
2023-05-05,125747.4163830645
2023-05-08,126541.60337447465
2023-05-09,125237.4317016536
2023-05-10,126628.16766070663
2023-05-11,126561.99177836717
2023-05-12,126033.34208428458
2023-05-15,125875.72233330802
2023-05-16,126438.65393763727
2023-05-17,127951.83910476237
2023-05-18,132985.09525214703
2023-05-19,132983.3216372636
2023-05-22,134330.45930015118
2023-05-23,135011.50253402264
2023-05-24,133351.2477939449
2023-05-25,138917.29429128987
2023-05-26,143633.217346338
2023-05-30,145452.26662268993
2023-05-31,143168.5952207124
2023-06-01,143859.67338004467
2023-06-02,143480.79166045543
2023-06-05,145395.88551345226
2023-06-06,147023.98958411568
2023-06-07,142881.96116462108
2023-06-08,145862.3871976411
2023-06-09,146947.18100371712
2023-06-12,151430.94258132332
2023-06-13,152439.9456826722
2023-06-14,153159.15707793587
2023-06-15,155185.4019171982
2023-06-16,153378.683018425
2023-06-20,151952.9358380523
2023-06-21,149347.1737460319
2023-06-22,148910.29699127114
2023-06-23,149687.98154632485
2023-06-26,149021.36334411538
2023-06-27,149819.480872661
2023-06-28,149708.1192968352
2023-06-29,148319.75416164234
2023-06-30,148804.83375081234
2023-07-03,148102.52077016048
2023-07-05,148259.780428974
2023-07-06,146365.091934148
2023-07-07,146289.0673521304
2023-07-10,146365.92020737642
2023-07-11,147761.44537790806
2023-07-12,150823.82144602327
2023-07-13,152035.72290720852
2023-07-14,151898.9256202212
2023-07-17,152750.26363910307
2023-07-18,154187.53204120268
2023-07-19,154287.15721512845
2023-07-20,153071.9078407388
2023-07-21,151730.13416840727
2023-07-24,151572.71020960296
2023-07-25,151343.84133467896
2023-07-26,151953.5913109947
2023-07-27,151059.24851751394
2023-07-28,153969.8046724658
2023-07-31,152049.16911197655
2023-08-01,151529.8338382339
2023-08-02,149412.8446839764
2023-08-03,148633.5603683183
2023-08-04,147913.3020980546
2023-08-07,152040.84025694948
2023-08-08,151411.30427672487
2023-08-09,150290.5311805993
2023-08-10,151258.07563708123
2023-08-11,151044.26855877385
2023-08-14,151460.3003084992
2023-08-15,150780.91508129583
2023-08-16,149624.46371105657
2023-08-17,148787.9607494149
2023-08-18,148077.45623554598
2023-08-21,148074.44242165145
2023-08-22,146254.50461955246
2023-08-23,147903.47689814746
2023-08-24,147019.53501665365
2023-08-25,147297.51797639558
2023-08-28,147547.1221190871
2023-08-29,148665.70703043355
2023-08-30,149046.00030067607
2023-08-31,149400.18203196817
2023-09-01,148846.89819941815
2023-09-05,148638.76197719952
2023-09-06,147903.7248175122
2023-09-07,148554.4944562123
2023-09-08,148647.3590001271
2023-09-11,148988.52437314863
2023-09-12,145962.61657736317
2023-09-13,146812.95576117054
2023-09-14,147538.98549085812
2023-09-15,145668.65918363963
2023-09-18,144759.32600035105
2023-09-19,144556.05179896392
2023-09-20,143122.13061442412
2023-09-21,140633.5274466977
2023-09-22,140172.05419226838
2023-09-25,140349.33004615884
2023-09-26,139804.47801063638
