symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
NVDA,2023-02-24,2023-03-24,23.17,26.72,984,3493.85,1.95,time_exit
AVGO,2023-03-06,2023-04-03,60.49,61.64,608,700.48,0.39,time_exit
PEP,2023-03-14,2023-04-05,154.27,165.29,462,5092.62,2.84,target
LMT,2023-03-13,2023-04-11,432.49,447.12,174,2546.85,1.42,time_exit
ABBV,2023-03-15,2023-04-13,134.46,145.07,458,4858.82,2.71,time_exit
BA,2023-04-04,2023-04-14,212.0,203.45,219,-1872.73,-1.0,stop
CSCO,2023-03-27,2023-04-19,46.14,44.2,960,-1863.38,-1.0,stop
BLK,2023-04-17,2023-04-25,640.56,613.25,76,-2075.75,-0.99,stop
ABBV,2023-04-20,2023-04-27,143.72,139.5,486,-2051.67,-1.0,stop
MCD,2023-04-12,2023-05-01,263.09,276.15,359,4688.65,2.31,target
AVGO,2023-05-02,2023-05-03,60.04,58.88,1778,-2063.17,-1.0,stop
FDX,2023-04-06,2023-05-05,174.13,172.84,212,-273.25,-0.14,time_exit
BKNG,2023-04-26,2023-05-05,103.54,99.71,525,-2008.54,-1.0,stop
AAPL,2023-04-14,2023-05-12,161.95,170.04,389,3145.81,1.48,time_exit
KO,2023-05-04,2023-05-22,57.91,56.61,1548,-2022.37,-1.0,stop
AVGO,2023-05-08,2023-05-23,60.42,65.78,752,4026.01,2.04,target
INTU,2023-05-23,2023-05-24,444.17,419.71,81,-1981.17,-0.99,stop
CMCSA,2023-04-28,2023-05-26,33.38,32.92,1523,-711.08,-0.36,time_exit
AMD,2023-05-24,2023-05-26,105.98,125.07,328,6261.36,3.01,target
AVGO,2023-05-25,2023-05-26,67.11,70.3,457,1459.18,0.72,target
CRM,2023-05-15,2023-05-30,200.28,215.95,190,2976.33,1.46,target
BRK-B,2023-05-08,2023-06-06,328.26,333.41,142,731.3,0.37,time_exit
ADBE,2023-05-30,2023-06-09,429.94,461.55,57,1801.51,0.83,target
ACN,2023-05-30,2023-06-16,288.87,308.1,163,3133.47,1.44,target
ADBE,2023-06-12,2023-06-16,463.71,510.65,60,2816.19,1.23,target
ACN,2023-06-20,2023-06-22,299.3,289.09,236,-2409.15,-1.0,stop
AMAT,2023-05-30,2023-06-28,134.65,140.54,225,1323.86,0.61,time_exit
AMZN,2023-05-31,2023-06-29,121.45,127.9,361,2328.45,1.04,time_exit
AAPL,2023-06-07,2023-06-30,175.82,188.16,448,5526.62,2.45,target
AMAT,2023-06-29,2023-07-11,141.18,132.79,284,-2384.06,-1.0,stop
AXP,2023-06-20,2023-07-19,164.58,171.06,431,2790.69,1.16,time_exit
BA,2023-07-12,2023-07-19,219.51,209.39,246,-2490.14,-1.0,stop
ABT,2023-06-23,2023-07-21,101.16,107.63,746,4822.81,2.04,target
AMZN,2023-07-20,2023-07-21,134.07,129.36,531,-2499.66,-1.0,stop
HON,2023-06-30,2023-07-27,192.46,185.26,338,-2430.88,-1.0,stop
BRK-B,2023-07-03,2023-08-01,340.75,352.26,326,3752.26,1.47,time_exit
ABT,2023-07-24,2023-08-01,106.95,103.94,846,-2547.38,-1.0,stop
AMD,2023-08-02,2023-08-03,119.49,109.06,242,-2524.42,-1.0,stop
AAPL,2023-07-20,2023-08-04,192.23,186.58,443,-2500.7,-1.0,stop
AVGO,2023-07-24,2023-08-09,86.89,82.53,585,-2549.29,-1.0,stop
COF,2023-08-02,2023-08-10,109.34,105.65,684,-2524.39,-1.0,stop
ACN,2023-07-28,2023-08-11,302.72,291.25,217,-2490.44,-1.0,stop
AMZN,2023-08-07,2023-08-18,140.99,131.46,254,-2421.28,-1.0,stop
JNJ,2023-08-14,2023-08-21,158.97,153.78,438,-2273.85,-1.0,stop
CSCO,2023-08-10,2023-08-23,49.34,51.9,1275,3263.92,1.37,target
BRK-B,2023-08-04,2023-09-01,353.99,362.46,337,2854.39,1.15,time_exit
HD,2023-08-11,2023-09-11,304.47,306.28,304,548.53,0.24,time_exit
ACN,2023-09-05,2023-09-12,310.31,301.24,253,-2294.8,-1.0,stop
NVDA,2023-08-22,2023-09-18,48.04,43.3,460,-2180.02,-1.0,stop
MA,2023-08-23,2023-09-21,392.21,396.23,175,703.1,0.32,time_exit
COP,2023-09-19,2023-09-21,115.38,109.66,389,-2221.48,-1.0,stop
GOOG,2023-08-24,2023-09-22,133.55,130.1,305,-1051.22,-0.47,time_exit
BRK-B,2023-09-13,2023-09-25,369.33,359.48,230,-2265.39,-1.0,stop
COP,2023-09-28,2023-10-02,113.21,108.53,455,-2126.84,-1.0,stop
GD,2023-10-03,2023-10-06,209.52,204.52,417,-2083.85,-1.0,stop
AMGN,2023-09-12,2023-10-10,241.5,249.38,254,2001.28,0.87,time_exit
FDX,2023-09-22,2023-10-12,199.6,191.23,261,-2185.21,-1.0,stop
UNH,2023-09-25,2023-10-13,480.24,511.01,117,3599.86,1.66,target
COST,2023-09-22,2023-10-20,533.52,531.38,152,-325.75,-0.15,time_exit
AMGN,2023-10-16,2023-10-23,261.56,250.92,198,-2107.1,-1.0,stop
AMD,2023-10-09,2023-10-25,106.01,99.29,304,-2041.64,-1.0,stop
ADBE,2023-10-13,2023-10-25,560.0,530.59,69,-2028.96,-0.99,stop
COP,2023-10-23,2023-10-26,113.39,109.17,498,-2104.35,-1.0,stop
MSFT,2023-10-24,2023-11-06,324.33,348.61,137,3327.19,1.61,target
GD,2023-10-11,2023-11-08,224.01,229.43,258,1396.52,0.67,time_exit
IBM,2023-10-27,2023-11-15,130.94,139.83,455,4045.13,2.09,target
WMT,2023-10-26,2023-11-16,52.68,51.26,1397,-1981.17,-1.0,stop
AAPL,2023-11-07,2023-11-22,176.79,190.15,303,4047.97,2.02,target
PG,2023-10-27,2023-11-27,138.54,140.64,583,1225.21,0.63,time_exit
AVGO,2023-11-27,2023-11-30,94.67,90.43,508,-2154.2,-1.0,stop
ADBE,2023-11-09,2023-12-08,587.51,610.01,62,1395.0,0.69,time_exit
ACN,2023-11-16,2023-12-15,310.99,327.2,170,2755.7,1.3,time_exit
BRK-B,2023-11-20,2023-12-19,359.35,361.8,234,573.3,0.28,time_exit
ACN,2023-12-18,2023-12-19,325.78,317.92,282,-2215.68,-1.0,stop
AMZN,2023-11-28,2023-12-27,146.98,153.34,356,2264.16,1.04,time_exit
AMGN,2023-12-01,2024-01-02,250.15,268.18,225,4056.54,1.9,target
AAPL,2023-12-11,2024-01-02,190.78,187.83,732,-2163.02,-1.0,stop
NVDA,2024-01-02,2024-01-10,49.16,54.23,1051,5336.69,2.39,target
ACN,2023-12-20,2024-01-19,328.54,345.03,155,2557.3,1.17,target
GE,2023-12-20,2024-01-22,98.56,103.18,827,3822.43,1.75,time_exit
BNY,2024-01-11,2024-01-22,49.29,52.23,2101,6173.57,2.6,target
BRK-B,2024-01-03,2024-01-24,362.08,377.36,321,4906.38,2.16,target
ABT,2024-01-23,2024-01-24,108.64,105.81,931,-2627.79,-1.0,stop
CL,2024-01-03,2024-01-30,75.96,79.6,1051,3827.55,1.69,target
AAPL,2024-01-23,2024-01-31,192.67,184.9,338,-2628.24,-1.0,stop
ABBV,2024-01-25,2024-02-06,150.77,159.8,634,5729.06,2.14,target
AMGN,2024-01-31,2024-02-07,292.81,282.29,261,-2745.41,-1.0,stop
ADBE,2024-01-25,2024-02-16,615.42,579.51,74,-2657.14,-0.99,stop
ACN,2024-01-22,2024-02-20,347.33,346.33,229,-229.44,-0.09,time_exit
BKNG,2024-02-07,2024-02-22,142.97,153.22,517,5300.76,1.88,target
ABT,2024-02-01,2024-02-23,107.02,113.74,966,6491.46,2.41,target
BLK,2024-02-08,2024-03-08,751.52,800.24,117,5700.0,2.07,target
BNY,2024-02-26,2024-03-15,52.36,51.04,2223,-2934.95,-1.0,stop
HD,2024-02-20,2024-03-19,333.63,358.39,607,15029.49,5.56,time_exit
COF,2024-02-21,2024-03-20,131.68,137.21,500,2763.16,1.02,time_exit
AMZN,2024-02-23,2024-03-22,174.28,178.87,370,1698.3,0.61,time_exit
BAC,2024-03-18,2024-04-01,33.86,36.27,1914,4618.17,1.54,target
DHR,2024-03-20,2024-04-02,249.59,241.76,420,-3288.9,-1.0,stop
BLK,2024-03-22,2024-04-02,800.71,773.6,123,-3335.1,-1.0,stop
CVS,2024-03-25,2024-04-02,71.55,68.46,1094,-3379.91,-1.0,stop
PG,2024-04-02,2024-04-03,149.39,147.21,1594,-3472.54,-1.0,stop
ABBV,2024-03-11,2024-04-04,164.01,158.89,594,-3046.48,-1.0,stop
JPM,2024-04-04,2024-04-12,190.07,183.17,464,-3200.5,-1.0,stop
LLY,2024-04-04,2024-04-19,769.46,727.86,77,-3203.16,-1.0,stop
NFLX,2024-04-04,2024-04-19,63.32,60.24,1041,-3202.78,-1.0,stop
RTX,2024-04-04,2024-04-23,94.18,98.54,993,4322.75,1.35,target
GD,2024-04-15,2024-04-24,279.37,268.59,285,-3069.77,-1.0,stop
AMZN,2024-04-05,2024-04-25,182.38,173.35,347,-3134.3,-1.0,stop
CL,2024-04-25,2024-05-02,84.49,88.43,1382,5437.92,1.83,target
AMGN,2024-05-03,2024-05-06,292.66,280.02,70,-885.02,-0.29,target
AXP,2024-04-22,2024-05-20,226.44,236.46,297,2976.65,1.01,time_exit
CVX,2024-04-22,2024-05-20,145.38,147.94,648,1659.28,0.56,time_exit
C,2024-04-24,2024-05-22,57.96,60.06,1258,2634.14,0.87,time_exit
COF,2024-04-26,2024-05-23,140.49,134.71,504,-2912.57,-1.0,stop
BAC,2024-05-23,2024-05-30,37.76,36.46,2411,-3148.56,-1.0,stop
AVGO,2024-05-21,2024-05-31,136.85,130.07,456,-3093.27,-1.0,stop
BKNG,2024-05-07,2024-06-05,140.61,150.44,466,4580.04,1.52,time_exit
AXP,2024-06-03,2024-06-07,234.39,227.07,405,-2964.99,-1.0,stop
AVGO,2024-06-06,2024-06-13,139.12,154.52,340,5237.14,1.71,target
ABT,2024-06-10,2024-06-13,102.67,99.26,879,-2996.26,-1.0,stop
AMAT,2024-05-21,2024-06-18,214.0,239.69,310,7963.49,2.57,target
AMD,2024-05-28,2024-06-26,169.42,157.54,190,-2257.2,-0.73,time_exit
AMZN,2024-06-14,2024-06-27,183.08,198.36,466,7122.51,2.34,target
BNY,2024-05-31,2024-07-01,55.76,57.3,1786,2740.88,0.91,time_exit
ABBV,2024-06-27,2024-07-03,158.94,153.16,546,-3154.79,-1.0,stop
BRK-B,2024-06-20,2024-07-15,407.25,427.57,351,7131.06,2.23,target
BAC,2024-06-14,2024-07-16,37.35,40.46,2297,7139.48,2.35,target
AMZN,2024-06-28,2024-07-17,197.73,189.58,404,-3292.32,-1.0,stop
LLY,2024-07-05,2024-07-18,886.05,848.37,87,-3278.53,-1.0,stop
CAT,2024-07-19,2024-07-24,345.29,330.66,235,-3437.81,-1.0,stop
C,2024-07-02,2024-07-31,59.56,61.06,1409,2108.23,0.63,time_exit
ABBV,2024-07-18,2024-08-01,163.36,176.4,654,8526.36,2.43,target
AXP,2024-07-16,2024-08-02,238.96,231.03,433,-3434.24,-1.0,stop
BLK,2024-07-17,2024-08-05,811.26,784.69,134,-3559.74,-1.0,stop
AMGN,2024-07-25,2024-08-05,315.99,303.09,261,-3366.73,-1.0,stop
TMUS,2024-08-06,2024-08-27,180.96,196.25,436,6663.23,1.97,target
AMT,2024-08-01,2024-08-29,207.73,208.4,314,210.78,0.06,time_exit
ABBV,2024-08-02,2024-08-30,178.84,183.83,379,1891.63,0.53,time_exit
CL,2024-08-05,2024-09-03,98.27,102.84,989,4520.28,1.28,time_exit
PG,2024-08-06,2024-09-04,159.08,166.66,538,4077.93,1.21,time_exit
AAPL,2024-08-30,2024-09-04,228.28,218.23,350,-3516.43,-1.0,stop
BAC,2024-09-05,2024-09-06,38.97,37.13,1987,-3659.18,-1.0,stop
BRK-B,2024-08-28,2024-09-11,461.17,447.34,254,-3511.76,-1.0,stop
CL,2024-09-09,2024-09-11,102.44,100.21,1610,-3585.14,-1.0,stop
ADBE,2024-09-03,2024-09-13,576.3,549.01,130,-3547.99,-1.0,stop
ABBV,2024-09-04,2024-09-25,186.05,179.09,524,-3647.69,-1.0,stop
AMGN,2024-09-12,2024-09-25,312.73,299.63,262,-3432.86,-1.0,stop
AMT,2024-09-05,2024-10-03,218.54,213.77,341,-1624.67,-0.44,time_exit
BMY,2024-09-26,2024-10-07,45.4,49.97,1534,7005.94,2.17,target
AMZN,2024-09-12,2024-10-10,184.8,186.65,319,590.15,0.17,time_exit
AVGO,2024-09-16,2024-10-14,162.14,179.53,243,4226.38,1.25,time_exit
BLK,2024-10-11,2024-10-17,928.78,983.62,87,4770.95,1.42,target
C,2024-10-15,2024-10-18,63.42,60.06,1022,-3433.86,-1.0,stop
CAT,2024-09-26,2024-10-24,380.51,378.99,109,-165.83,-0.05,time_exit
ABT,2024-10-18,2024-10-25,113.6,110.04,993,-3528.36,-1.0,stop
ACN,2024-10-04,2024-10-31,350.4,333.13,185,-3195.25,-1.0,stop
AAPL,2024-10-21,2024-10-31,232.51,224.38,426,-3461.32,-1.0,stop
BKNG,2024-10-25,2024-10-31,172.59,182.34,492,4795.1,1.39,target
CMCSA,2024-10-28,2024-10-31,36.23,39.27,2309,7016.4,2.07,target
AXP,2024-10-08,2024-11-05,266.19,270.79,403,1854.82,0.56,time_exit
GILD,2024-11-01,2024-11-07,84.16,90.08,1563,9260.43,2.65,target
CRM,2024-11-06,2024-11-08,301.14,316.66,186,2885.82,0.82,target
ABBV,2024-11-01,2024-11-11,192.9,185.33,460,-3485.36,-1.0,stop
BMY,2024-11-01,2024-11-11,51.49,55.92,1477,6532.26,1.87,target
AMGN,2024-11-11,2024-11-12,308.65,297.0,323,-3761.75,-1.0,stop
AMZN,2024-11-08,2024-11-15,209.72,200.07,384,-3707.17,-1.0,stop
CMCSA,2024-11-01,2024-12-02,38.61,37.68,1530,-1411.78,-0.4,time_exit
BAC,2024-11-12,2024-12-11,44.36,44.55,1933,364.9,0.1,time_exit
BRK-B,2024-11-12,2024-12-11,467.69,461.39,253,-1593.9,-0.42,time_exit
C,2024-11-13,2024-12-12,66.21,68.47,1150,2601.45,0.69,time_exit
AVGO,2024-12-12,2024-12-13,178.17,205.01,360,9661.74,2.66,target
BNY,2024-11-18,2024-12-17,75.48,75.81,1587,521.38,0.14,time_exit
BLK,2024-12-12,2024-12-18,1035.11,993.91,88,-3625.59,-1.0,stop
COST,2024-12-13,2024-12-19,971.62,948.78,161,-3677.8,-1.0,stop
