date,equity
2023-02-10,108142.07906614449
2023-02-13,110099.93889127877
2023-02-14,111451.08992277291
2023-02-15,112438.39927183297
2023-02-16,110756.98176084664
2023-02-17,110266.74125944283
2023-02-21,107090.22502196497
2023-02-22,106493.86210519922
2023-02-23,105218.1257067514
2023-02-24,106636.60992379284
2023-02-27,106815.10487313366
2023-02-28,106683.52541298962
2023-03-01,106189.87245125866
2023-03-02,107551.82884926892
2023-03-03,109392.31456704235
2023-03-06,108874.20104928112
2023-03-07,107544.061156703
2023-03-08,108702.28937478161
2023-03-09,108264.25094159847
2023-03-10,106133.36073737135
2023-03-13,105579.65569137687
2023-03-14,107304.97044058664
2023-03-15,107642.21194960331
2023-03-16,109340.25613905644
2023-03-17,108686.95855452275
2023-03-20,110259.43954207157
2023-03-21,110553.45532728886
2023-03-22,109736.2344181702
2023-03-23,110750.98949934696
2023-03-24,111358.10752608036
2023-03-27,110908.81019542272
2023-03-28,110779.51405284459
2023-03-29,111377.86833140904
2023-03-30,111731.84193370397
2023-03-31,112721.21770045812
2023-04-03,113533.87781093175
2023-04-04,113134.11138484532
2023-04-05,113376.06001613195
2023-04-06,113123.61925075109
2023-04-10,113413.01414821201
2023-04-11,112676.77634847669
2023-04-12,112105.92291209652
2023-04-13,113350.15702749781
2023-04-14,112988.79064644645
2023-04-17,113015.6502236254
2023-04-18,113187.76170433829
2023-04-19,112735.62408498173
2023-04-20,113148.98730185958
2023-04-21,113079.22642997238
2023-04-24,113040.20963767501
2023-04-25,112637.90466509307
2023-04-26,111630.73207832334
2023-04-27,113160.38110733051
2023-04-28,115459.10609913335
2023-05-01,115935.13806248174
2023-05-02,115915.4754419373
2023-05-03,114606.83628941045
2023-05-04,113732.86870289312
2023-05-05,114868.75459582591
2023-05-08,115103.44768711591
2023-05-09,113890.27268406416
2023-05-10,114278.95051778114
2023-05-11,114325.168487396
2023-05-12,113900.6673253584
2023-05-15,114743.05185361781
2023-05-16,117046.32675596155
2023-05-17,119172.54150052942
2023-05-18,122041.33390470422
2023-05-19,121329.60353513635
2023-05-22,122629.55247159876
2023-05-23,121558.11968656458
2023-05-24,120967.76533933557
2023-05-25,126529.41065641321
2023-05-26,129863.24373109688
2023-05-30,129676.03944751932
2023-05-31,127982.98515674783
2023-06-01,127169.70032908574
2023-06-02,127628.41086462195
2023-06-05,127460.00885656531
2023-06-06,129608.93100622352
2023-06-07,126312.01838567908
2023-06-08,126990.53640630897
2023-06-09,128076.63168218787
2023-06-12,129816.28037908729
2023-06-13,130085.72599676307
2023-06-14,129874.99876488383
2023-06-15,132212.2784890049
2023-06-16,132108.57571495706
2023-06-20,130320.21958244975
2023-06-21,128815.38767627705
2023-06-22,128883.70469313646
2023-06-23,128586.82215666558
2023-06-26,127750.515485523
2023-06-27,128931.05576109674
2023-06-28,128559.88844084527
2023-06-29,128672.43647551324
2023-06-30,130640.69067168023
2023-07-03,129862.34299254206
2023-07-05,130006.6056420782
2023-07-06,129075.96565485698
2023-07-07,128708.77761169491
2023-07-10,128960.68621369627
2023-07-11,130396.69044038084
2023-07-12,130998.49646302489
2023-07-13,132245.44488068845
2023-07-14,132317.55522462155
2023-07-17,132957.68778535153
2023-07-18,133601.26139374997
2023-07-19,134088.05205842282
2023-07-20,134582.4929229858
2023-07-21,134528.1897995117
2023-07-24,135012.60073901823
2023-07-25,135254.83993579558
2023-07-26,137435.26953442238
2023-07-27,137256.33861096046
2023-07-28,138321.43674023292
2023-07-31,139177.93330700538
2023-08-01,141680.27350170753
2023-08-02,139771.77875073097
2023-08-03,139053.5765412583
2023-08-04,137731.2939309984
2023-08-07,141029.35078443406
2023-08-08,140695.13944257615
2023-08-09,139373.12804426072
2023-08-10,139543.3861695659
2023-08-11,138538.4215968882
2023-08-14,139168.54148676456
2023-08-15,137894.42026331485
2023-08-16,137068.63345911563
2023-08-17,135690.75368097052
2023-08-18,134829.81544766115
2023-08-21,133777.2086347671
2023-08-22,132420.70369454223
2023-08-23,133602.74008567457
2023-08-24,131355.51104531233
2023-08-25,131373.37361321395
2023-08-28,132821.22582039778
2023-08-29,135797.91347298567
2023-08-30,136883.69450936263
2023-08-31,137260.00951561873
2023-09-01,137022.89106926863
2023-09-05,136486.248826837
2023-09-06,135202.82363686507
2023-09-07,134981.8043421263
2023-09-08,134985.10188088362
2023-09-11,134961.7796583011
2023-09-12,133531.591846284
2023-09-13,134072.99513754275
2023-09-14,134336.9843190613
2023-09-15,133226.73030599978
2023-09-18,133814.11473593142
2023-09-19,133206.81190122743
2023-09-20,131315.71868686893
2023-09-21,129307.23843464995
2023-09-22,129152.89373441711
2023-09-25,129616.08790356434
2023-09-26,128824.47176892079
2023-09-27,129350.8478675536
2023-09-28,130422.8274853729
2023-09-29,128997.41347627866
2023-10-02,129171.43216412913
2023-10-03,127334.65263063027
2023-10-04,127528.1231506498
2023-10-05,127443.93880995178
2023-10-06,127213.89639801542
2023-10-09,127418.30539561434
2023-10-10,127529.8027449001
2023-10-11,128898.1367140163
2023-10-12,129174.78846267353
2023-10-13,129356.32973769795
2023-10-16,130320.7382917751
2023-10-17,129833.19442275654
2023-10-18,128933.34566787373
2023-10-19,128390.27451614033
2023-10-20,126956.9955396999
2023-10-23,125446.12057821544
2023-10-24,125702.46139046304
2023-10-25,124276.22746424543
2023-10-26,121749.81199153833
2023-10-27,121036.91408033046
2023-10-30,122720.76310987148
2023-10-31,123517.59959287319
2023-11-01,125128.47380704556
2023-11-02,126079.82956571254
2023-11-03,126822.84327191982
2023-11-06,127537.9547564474
2023-11-07,127803.38342160854
2023-11-08,127714.6163203207
2023-11-09,127224.46449918422
2023-11-10,129747.57387418422
2023-11-13,129745.65392942104
2023-11-14,130778.14598340663
2023-11-15,132084.79902906093
2023-11-16,131976.94071654062
2023-11-17,131361.723159489
2023-11-20,133046.2633320659
2023-11-21,132685.99933594163
2023-11-22,133277.1910953736
2023-11-24,133590.6047153687
2023-11-27,132960.4275608277
2023-11-28,132828.84226094253
2023-11-29,133308.7670961476
2023-11-30,136076.41160776757
2023-12-01,138287.25805857324
2023-12-04,136455.64312937402
2023-12-05,136768.25528147363
2023-12-06,135929.28911020898
2023-12-07,136901.98861887597
2023-12-08,138053.03473093652
2023-12-11,138874.19732859277
2023-12-12,140274.09814646386
2023-12-13,140333.08537485742
2023-12-14,139263.3772787085
2023-12-15,140540.14804696603
2023-12-18,141181.879385467
2023-12-19,141850.7524162425
2023-12-20,139507.81767908795
2023-12-21,141513.3367392581
2023-12-22,141951.63746395745
2023-12-26,142102.89709225335
2023-12-27,142371.6081030365
2023-12-28,142299.75615143738
2023-12-29,142246.939447641
2024-01-02,142042.24110546158
2024-01-03,140672.43170662547
2024-01-04,141124.60513342588
2024-01-05,142147.21152533262
2024-01-08,144283.57408941953
2024-01-09,143856.89202154844
2024-01-10,144137.4501155731
2024-01-11,143456.43151723707
2024-01-12,142908.14133692396
2024-01-16,145956.5062793183
2024-01-17,146112.65841707465
2024-01-18,147834.83293184516
2024-01-19,152065.60326418158
2024-01-22,151375.93686708686
2024-01-23,152411.5502398896
2024-01-24,154915.66471895456
2024-01-25,156201.83696240827
2024-01-26,155448.66888684675
2024-01-29,156294.89692944929
2024-01-30,155702.39630383893
2024-01-31,152647.81320422018
2024-02-01,154838.43760254508
2024-02-02,155346.96850159293
2024-02-05,154987.9917102111
2024-02-06,154187.61059143668
2024-02-07,155114.4199939025
2024-02-08,154863.27758362418
2024-02-09,156197.33388855582
2024-02-12,154769.712276007
2024-02-13,152704.83545230865
2024-02-14,153941.55465336493
2024-02-15,154880.40604801825
2024-02-16,155399.52631779364
2024-02-20,155067.3981592243
2024-02-21,155766.4863245075
2024-02-22,157962.25509281806
2024-02-23,158715.4132654255
2024-02-26,158113.51567199934
2024-02-27,157965.12343813624
